,code,name,eps_x,eps_yoy,bvps,roe_x,epcf,net_profits_x,profits_yoy,distrib,report_date,roe_y,net_profit_ratio,gross_profit_rate,net_profits_y,eps_y,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg,currentratio,quickratio,cashratio,icratio,sheqratio,adratio,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio,time_point
0,300562,乐心医疗,0.11,-56.0,,6.81,,1583.52,41.59,,04-26,,10.13,32.6402,15.8352,0.3582,156.1791,3.5334,,,,,,,40.0146,41.588,-100.0,-100.0,-56.0,-100.0,--,--,--,-5695.7628,--,--,0.1818,,1.7932,,,2016-04-27
1,300562,乐心医疗,0.11,-56.0,,6.81,,1583.52,41.59,,04-26,,10.13,32.6402,15.8352,0.3582,156.1791,3.5334,,,,,,,40.0146,41.588,-100.0,-100.0,-56.0,-100.0,--,--,--,-5695.7628,--,--,0.1818,,1.7932,,,2016-04-27
2,300609,汇纳科技,-0.14,102.57,,-5.27,,-1063.55,96.59,,04-25,,-179.68,69.759,-10.6355,-0.1418,5.9191,0.0789,,,,,,,-31.2085,,-100.0,-100.0,102.5714,-100.0,--,--,--,43589.0887,--,--,-2.1411,,,,,2016-04-27
3,300609,汇纳科技,-0.14,102.57,,-5.27,,-1063.55,96.59,,04-25,,-179.68,69.759,-10.6355,-0.1418,5.9191,0.0789,,,,,,,-31.2085,,-100.0,-100.0,102.5714,-100.0,--,--,--,43589.0887,--,--,-2.1411,,,,,2016-04-27
4,300567,精测电子,-0.01,-93.75,,-0.28,,-67.64,-92.77,,04-24,,-0.9,50.1336,-0.6764,-0.0112,75.0184,1.2503,,,,,,,23.285999999999998,,-100.0,-100.0,-93.75,-100.0,--,--,--,-156.0129,--,--,-0.5289,,,,,2016-04-27
5,300567,精测电子,-0.01,-93.75,,-0.28,,-67.64,-92.77,,04-24,,-0.9,50.1336,-0.6764,-0.0112,75.0184,1.2503,,,,,,,23.285999999999998,,-100.0,-100.0,-93.75,-100.0,--,--,--,-156.0129,--,--,-0.5289,,,,,2016-04-27
6,300567,精测电子,-0.01,-93.75,,-0.28,,-67.64,-92.77,,04-24,,-0.9,50.1336,-0.6764,-0.0112,75.0184,1.2503,,,,,,,23.285999999999998,,-100.0,-100.0,-93.75,-100.0,--,--,--,-156.0129,--,--,-0.5289,,,,,2016-04-27
7,300567,精测电子,-0.01,-93.75,,-0.28,,-67.64,-92.77,,04-24,,-0.9,50.1336,-0.6764,-0.0112,75.0184,1.2503,,,,,,,23.285999999999998,,-100.0,-100.0,-93.75,-100.0,--,--,--,-156.0129,--,--,-0.5289,,,,,2016-04-27
8,300567,精测电子,-0.01,-93.75,,-0.28,,-67.64,-92.77,,04-24,,-0.9,50.1336,-0.6764,-0.0112,75.0184,1.2503,,,,,,,23.285999999999998,,-100.0,-100.0,-93.75,-100.0,--,--,--,-156.0129,--,--,-0.5289,,,,,2016-04-27
9,300567,精测电子,-0.01,-93.75,,-0.28,,-67.64,-92.77,,04-24,,-0.9,50.1336,-0.6764,-0.0112,75.0184,1.2503,,,,,,,23.285999999999998,,-100.0,-100.0,-93.75,-100.0,--,--,--,-156.0129,--,--,-0.5289,,,,,2016-04-27
10,300567,精测电子,-0.01,-93.75,,-0.28,,-67.64,-92.77,,04-24,,-0.9,50.1336,-0.6764,-0.0112,75.0184,1.2503,,,,,,,23.285999999999998,,-100.0,-100.0,-93.75,-100.0,--,--,--,-156.0129,--,--,-0.5289,,,,,2016-04-27
11,300567,精测电子,-0.01,-93.75,,-0.28,,-67.64,-92.77,,04-24,,-0.9,50.1336,-0.6764,-0.0112,75.0184,1.2503,,,,,,,23.285999999999998,,-100.0,-100.0,-93.75,-100.0,--,--,--,-156.0129,--,--,-0.5289,,,,,2016-04-27
12,601162,天风证券,,,,,,20772.76,-3.09,,08-25,2.12,39.88,31.0676,207.7276,0.6594,520.7549,1.6531,,,,,,,,-18.9129,189.57,125.7781,,74.6442,--,--,--,--,37.7825,62.2175,,-0.0371,-10.6495,-0.0596,,2016-04-27
