,code,name,eps_x,eps_yoy,roe_x,time_point
2674,000002,万科A,1.27,26.07,10.04,2018-10-17
1294,000009,中国宝安,0.05,-45.36,1.95,2018-10-17
223,000011,深物业A,0.24,-74.98,4.92,2018-10-17
916,000012,南玻A,0.17,-48.48,5.39,2018-10-17
2013,000014,沙河股份,0.01,-49.09,0.31,2018-10-17
262,000018,神州长城,0.02,-93.79,1.2,2018-10-17
835,000023,深天地A,0.08,-68.44,2.56,2018-10-17
3312,000026,飞亚达A,0.37,19.12,6.55,2018-10-17
1946,000028,国药一致,2.17,15.41,9.21,2018-10-17
188,000029,深深房A,0.37,149.97,12.41,2018-10-17
226,000031,大悦城,0.5,72.41,12.96,2018-10-17
1728,000032,深桑达A,0.2,89.59,5.33,2018-10-17
1574,000034,神州数码,0.53,10.12,9.81,2018-10-17
358,000036,华联控股,0.65,-31.68,15.45,2018-10-17
73,000038,深大通,0.42,-20.85,4.07,2018-10-17
1422,000040,东旭蓝天,1.05,333.88,11.55,2018-10-17
852,000042,中洲控股,1.14,209.73,11.24,2018-10-17
33,000043,中航善达,1.25,-1257.53,18.15,2018-10-17
931,000045,深纺织A,0.02,-65.71,0.51,2018-10-17
1313,000049,德赛电池,1.34,47.39,18.14,2018-10-17
2515,000050,深天马A,0.62,16.03,4.98,2018-10-17
3461,000055,方大集团,0.28,-9.68,9.77,2018-10-17
922,000056,皇庭国际,0.13,-7.14,2.81,2018-10-17
727,000060,中金岭南,0.22,-43.59,7.6,2018-10-17
1477,000061,农产品,0.03,1637.5,0.99,2018-10-17
2635,000062,深圳华强,0.72,61.69,11.86,2018-10-17
2222,000063,中兴通讯,-1.73,-286.02,-27.22,2018-10-17
403,000065,北方国际,0.57,-16.18,11.47,2018-10-17
492,000066,中国长城,0.07,-30.12,3.26,2018-10-17
2544,000069,华侨城A,0.62,7.63,9.54,2018-10-17
693,000070,特发信息,0.26,-4.41,8.0,2018-10-17
1112,000078,海王生物,0.16,5.15,7.54,2018-10-17
2780,000088,盐田港,0.15,5.14,4.66,2018-10-17
2155,000089,深圳机场,0.28,14.56,5.06,2018-10-17
926,000096,广聚能源,0.18,-20.87,3.97,2018-10-17
362,000150,宜华健康,0.33,-3.44,8.71,2018-10-17
3045,000151,中成股份,0.22,0.45,6.69,2018-10-17
77,000153,丰原药业,0.18,-7.92,4.5,2018-10-17
405,000156,华数传媒,0.34,2.18,4.6,2018-10-17
